"Notes"	"Year"	"Year Code"	"State"	"State Code"	Deaths	Population	Crude Rate
	"2003"	"2003"	"New Jersey"	"34"	777	8601402	9.0
	"2003"	"2003"	"New Mexico"	"35"	391	1877574	20.8
	"2003"	"2003"	"New York"	"36"	1090	19175939	5.7
	"2003"	"2003"	"North Carolina"	"37"	813	8422501	9.7
	"2003"	"2003"	"North Dakota"	"38"	26	638817	4.1
	"2003"	"2003"	"Ohio"	"39"	892	11434788	7.8
	"2003"	"2003"	"Oklahoma"	"40"	442	3504892	12.6
	"2003"	"2003"	"Oregon"	"41"	430	3547376	12.1
	"2003"	"2003"	"Pennsylvania"	"42"	1470	12374658	11.9
	"2003"	"2003"	"Rhode Island"	"44"	162	1071342	15.1
	"2003"	"2003"	"South Carolina"	"45"	314	4150297	7.6
	"2003"	"2003"	"South Dakota"	"46"	29	763729	3.8
	"2003"	"2003"	"Tennessee"	"47"	747	5847812	12.8
	"2003"	"2003"	"Texas"	"48"	1972	22030931	9.0
	"2003"	"2003"	"Utah"	"49"	374	2360137	15.8
	"2003"	"2003"	"Vermont"	"50"	75	617858	12.1
	"2003"	"2003"	"Virginia"	"51"	586	7366977	8.0
	"2003"	"2003"	"Washington"	"53"	767	6104115	12.6
	"2003"	"2003"	"West Virginia"	"54"	293	1812295	16.2
	"2003"	"2003"	"Wisconsin"	"55"	409	5479203	7.5
	"2003"	"2003"	"Wyoming"	"56"	32	503453	6.4
"Total"	"2003"	"2003"			28985	290107933	10.0
	"2004"	"2004"	"Alabama"	"01"	325	4530729	7.2
	"2004"	"2004"	"Alaska"	"02"	93	659286	14.1
	"2004"	"2004"	"Arizona"	"04"	792	5652404	14.0
	"2004"	"2004"	"Arkansas"	"05"	259	2749686	9.4
	"2004"	"2004"	"California"	"06"	3873	35574576	10.9
	"2004"	"2004"	"Colorado"	"08"	563	4575013	12.3
	"2004"	"2004"	"Connecticut"	"09"	349	3496094	10.0
	"2004"	"2004"	"Delaware"	"10"	97	830803	11.7
	"2004"	"2004"	"District of Columbia"	"11"	91	567754	16.0
	"2004"	"2004"	"Florida"	"12"	2520	17415318	14.5
	"2004"	"2004"	"Georgia"	"13"	734	8769252	8.4
	"2004"	"2004"	"Hawaii"	"15"	129	1273569	10.1
	"2004"	"2004"	"Idaho"	"16"	108	1391802	7.8
	"2004"	"2004"	"Illinois"	"17"	1211	12589773	9.6
	"2004"	"2004"	"Indiana"	"18"	594	6233007	9.5
	"2004"	"2004"	"Iowa"	"19"	142	2953635	4.8
	"2004"	"2004"	"Kansas"	"20"	251	2734373	9.2
	"2004"	"2004"	"Kentucky"	"21"	583	4146101	14.1
	"2004"	"2004"	"Louisiana"	"22"	607	4552238	13.3
	"2004"	"2004"	"Maine"	"23"	161	1313688	12.3
	"2004"	"2004"	"Maryland"	"24"	699	5546935	12.6
	"2004"	"2004"	"Massachusetts"	"25"	694	6412281	10.8
	"2004"	"2004"	"Michigan"	"26"	980	10055315	9.7
	"2004"	"2004"	"Minnesota"	"27"	284	5087713	5.6
	"2004"	"2004"	"Mississippi"	"28"	246	2889010	8.5
	"2004"	"2004"	"Missouri"	"29"	602	5747741	10.5
	"2004"	"2004"	"Montana"	"30"	107	930009	11.5
	"2004"	"2004"	"Nebraska"	"31"	61	1749370	3.5
	"2004"	"2004"	"Nevada"	"32"	481	2346222	20.5
	"2004"	"2004"	"New Hampshire"	"33"	130	1290121	10.1
	"2004"	"2004"	"New Jersey"	"34"	645	8634561	7.5
	"2004"	"2004"	"New Mexico"	"35"	349	1903808	18.3
	"2004"	"2004"	"New York"	"36"	927	19171567	4.8
	"2004"	"2004"	"North Carolina"	"37"	915	8553152	10.7
	"2004"	"2004"	"North Dakota"	"38"	21	644705	3.3
	"2004"	"2004"	"Ohio"	"39"	1326	11452251	11.6
	"2004"	"2004"	"Oklahoma"	"40"	526	3525233	14.9
	"2004"	"2004"	"Oregon"	"41"	443	3569463	12.4
	"2004"	"2004"	"Pennsylvania"	"42"	1624	12410722	13.1
	"2004"	"2004"	"Rhode Island"	"44"	120	1074579	11.2
	"2004"	"2004"	"South Carolina"	"45"	388	4210921	9.2
	"2004"	"2004"	"South Dakota"	"46"	45	770396	5.8
	"2004"	"2004"	"Tennessee"	"47"	850	5910809	14.4
	"2004"	"2004"	"Texas"	"48"	2020	22394023	9.0
	"2004"	"2004"	"Utah"	"49"	380	2401580	15.8
	"2004"	"2004"	"Vermont"	"50"	58	619920	9.4
	"2004"	"2004"	"Virginia"	"51"	603	7475575	8.1
	"2004"	"2004"	"Washington"	"53"	882	6178645	14.3
	"2004"	"2004"	"West Virginia"	"54"	378	1816438	20.8
	"2004"	"2004"	"Wisconsin"	"55"	468	5514026	8.5
	"2004"	"2004"	"Wyoming"	"56"	49	509106	9.6
"Total"	"2004"	"2004"			30783	292805298	10.5
	"2005"	"2005"	"Alabama"	"01"	310	4569805	6.8
	"2005"	"2005"	"Alaska"	"02"	88	666946	13.2
	"2005"	"2005"	"Arizona"	"04"	857	5839077	14.7
	"2005"	"2005"	"Arkansas"	"05"	302	2781097	10.9
	"2005"	"2005"	"California"	"06"	3989	35827943	11.1
	"2005"	"2005"	"Colorado"	"08"	676	4631888	14.6
	"2005"	"2005"	"Connecticut"	"09"	316	3506956	9.0
	"2005"	"2005"	"Delaware"	"10"	69	845150	8.2
	"2005"	"2005"	"District of Columbia"	"11"	81	567136	14.3
	"2005"	"2005"	"Florida"	"12"	2637	17842038	14.8
	"2005"	"2005"	"Georgia"	"13"	816	8925922	9.1
	"2005"	"2005"	"Hawaii"	"15"	144	1292729	11.1
	"2005"	"2005"	"Idaho"	"16"	116	1428241	8.1
	"2005"	"2005"	"Illinois"	"17"	1267	12609903	10.0
	"2005"	"2005"	"Indiana"	"18"	661	6278616	10.5
	"2005"	"2005"	"Iowa"	"19"	167	2964454	5.6
	"2005"	"2005"	"Kansas"	"20"	263	2745299	9.6
	"2005"	"2005"	"Kentucky"	"21"	687	4182742	16.4
	"2005"	"2005"	"Louisiana"	"22"	745	4576628	16.3
	"2005"	"2005"	"Maine"	"23"	179	1318787	13.6
	"2005"	"2005"	"Maryland"	"24"	682	5592379	12.2
	"2005"	"2005"	"Massachusetts"	"25"	816	6403290	12.7
	"2005"	"2005"	"Michigan"	"26"	1118	10051137	11.1
	"2005"	"2005"	"Minnesota"	"27"	314	5119598	6.1
	"2005"	"2005"	"Mississippi"	"28"	270	2905943	9.3
	"2005"	"2005"	"Missouri"	"29"	672	5790300	11.6
	"2005"	"2005"	"Montana"	"30"	103	940102	11.0
	"2005"	"2005"	"Nebraska"	"31"	90	1761497	5.1
	"2005"	"2005"	"Nevada"	"32"	549	2432143	22.6
	"2005"	"2005"	"New Hampshire"	"33"	148	1298492	11.4
	"2005"	"2005"	"New Jersey"	"34"	885	8651974	10.2
	"2005"	"2005"	"New Mexico"	"35"	404	1932274	20.9
	"2005"	"2005"	"New York"	"36"	996	19132610	5.2
	"2005"	"2005"	"North Carolina"	"37"	1058	8705407	12.2
	"2005"	"2005"	"North Dakota"	"38"	13	646089	Unreliable
	"2005"	"2005"	"Ohio"	"39"	1444	11463320	12.6
	"2005"	"2005"	"Oklahoma"	"40"	524	3548597	14.8
	"2005"	"2005"	"Oregon"	"41"	472	3613202	13.1
	"2005"	"2005"	"Pennsylvania"	"42"	1709	12449990	13.7
	"2005"	"2005"	"Rhode Island"	"44"	187	1067916	17.5
	"2005"	"2005"	"South Carolina"	"45"	457	4270150	10.7
	"2005"	"2005"	"South Dakota"	"46"	44	775493	5.7
	"2005"	"2005"	"Tennessee"	"47"	961	5991057	16.0
	"2005"	"2005"	"Texas"	"48"	2151	22778123	9.4
	"2005"	"2005"	"Utah"	"49"	468	2457719	19.0
	"2005"	"2005"	"Vermont"	"50"	72	621215	11.6
	"2005"	"2005"	"Virginia"	"51"	633	7577105	8.4
	"2005"	"2005"	"Washington"	"53"	933	6257305	14.9
	"2005"	"2005"	"West Virginia"	"54"	219	1820492	12.0
	"2005"	"2005"	"Wisconsin"	"55"	553	5546166	10.0
	"2005"	"2005"	"Wyoming"	"56"	27	514157	5.3
"Total"	"2005"	"2005"			33342	295516599	11.3
	"2006"	"2006"	"Alabama"	"01"	443	4628981	9.6
	"2006"	"2006"	"Alaska"	"02"	83	675302	12.3
	"2006"	"2006"	"Arizona"	"04"	957	6029141	15.9
	"2006"	"2006"	"Arkansas"	"05"	321	2821761	11.4
	"2006"	"2006"	"California"	"06"	4274	36021202	11.9
	"2006"	"2006"	"Colorado"	"08"	690	4720423	14.6
	"2006"	"2006"	"Connecticut"	"09"	435	3517460	12.4
	"2006"	"2006"	"Delaware"	"10"	92	859268	10.7
	"2006"	"2006"	"District of Columbia"	"11"	117	570681	20.5
	"2006"	"2006"	"Florida"	"12"	2897	18166990	15.9
	"2006"	"2006"	"Georgia"	"13"	922	9155813	10.1
	"2006"	"2006"	"Hawaii"	"15"	112	1309731	8.6
	"2006"	"2006"	"Idaho"	"16"	138	1468669	9.4
	"2006"	"2006"	"Illinois"	"17"	1561	12643955	12.3
	"2006"	"2006"	"Indiana"	"18"	783	6332669	12.4
	"2006"	"2006"	"Iowa"	"19"	208	2982644	7.0
	"2006"	"2006"	"Kansas"	"20"	283	2762931	10.2
	"2006"	"2006"	"Kentucky"	"21"	772	4219239	18.3
	"2006"	"2006"	"Louisiana"	"22"	773	4302665	18.0
	"2006"	"2006"	"Maine"	"23"	168	1323619	12.7
	"2006"	"2006"	"Maryland"	"24"	802	5627367	14.3
	"2006"	"2006"	"Massachusetts"	"25"	996	6410084	15.5
	"2006"	"2006"	"Michigan"	"26"	1297	10036081	12.9
	"2006"	"2006"	"Minnesota"	"27"	368	5163555	7.1
	"2006"	"2006"	"Mississippi"	"28"	355	2904978	12.2
	"2006"	"2006"	"Missouri"	"29"	821	5842704	14.1
	"2006"	"2006"	"Montana"	"30"	105	952692	11.0
	"2006"	"2006"	"Nebraska"	"31"	93	1772693	5.2
	"2006"	"2006"	"Nevada"	"32"	533	2522658	21.1
	"2006"	"2006"	"New Hampshire"	"33"	161	1308389	12.3
	"2006"	"2006"	"New Jersey"	"34"	891	8661679	10.3
	"2006"	"2006"	"New Mexico"	"35"	442	1962137	22.5
	"2006"	"2006"	"New York"	"36"	1794	19104631	9.4
	"2006"	"2006"	"North Carolina"	"37"	1126	8917270	12.6
	"2006"	"2006"	"North Dakota"	"38"	15	649422	Unreliable
	"2006"	"2006"	"Ohio"	"39"	1706	11481213	14.9
	"2006"	"2006"	"Oklahoma"	"40"	596	3594090	16.6
	"2006"	"2006"	"Oregon"	"41"	542	3670883	14.8
	"2006"	"2006"	"Pennsylvania"	"42"	1711	12510809	13.7
	"2006"	"2006"	"Rhode Island"	"44"	185	1063096	17.4
	"2006"	"2006"	"South Carolina"	"45"	613	4357847	14.1
	"2006"	"2006"	"South Dakota"	"46"	40	783033	5.1
	"2006"	"2006"	"Tennessee"	"47"	1047	6088766	17.2
	"2006"	"2006"	"Texas"	"48"	2440	23359580	10.4
	"2006"	"2006"	"Utah"	"49"	470	2525507	18.6
	"2006"	"2006"	"Vermont"	"50"	79	622892	12.7
	"2006"	"2006"	"Virginia"	"51"	681	7673725	8.9
	"2006"	"2006"	"Washington"	"53"	996	6370753	15.6
	"2006"	"2006"	"West Virginia"	"54"	397	1827912	21.7
	"2006"	"2006"	"Wisconsin"	"55"	644	5577655	11.5
	"2006"	"2006"	"Wyoming"	"56"	60	522667	11.5
"Total"	"2006"	"2006"			38035	298379912	12.7
	"2007"	"2007"	"Alabama"	"01"	544	4672840	11.6
	"2007"	"2007"	"Alaska"	"02"	78	680300	11.5
	"2007"	"2007"	"Arizona"	"04"	1031	6167681	16.7
	"2007"	"2007"	"Arkansas"	"05"	326	2848650	11.4
	"2007"	"2007"	"California"	"06"	4506	36250311	12.4
	"2007"	"2007"	"Colorado"	"08"	793	4803868	16.5
	"2007"	"2007"	"Connecticut"	"09"	447	3527270	12.7
	"2007"	"2007"	"Delaware"	"10"	112	871749	12.8
	"2007"	"2007"	"District of Columbia"	"11"	69	574404	12.0
	"2007"	"2007"	"Florida"	"12"	3022	18367842	16.5
	"2007"	"2007"	"Georgia"	"13"	994	9349988	10.6
	"2007"	"2007"	"Hawaii"	"15"	157	1315675	11.9
